"ft_black_2016","ft_white_2016","ft_hisp_2016","ft_asian_2016","ft_muslim_2016","ft_jew_2016","ft_christ_2016","ft_fem_2016","ft_immig_2016","ft_blm_2016","ft_wallst_2016","ft_gays_2016","ft_unions_2016","ft_police_2016","ft_altright_2016","immig_attitude"
69,37,8,84,6,7,13,99,1,16,0,73,85,33,4,"strongly unfavorable"
80,80,50,90,5,90,95,5,90,0,50,50,2,98,50,"favorable"
99,100,98,99,79,98,55,99,94,79,9,74,93,63,2,"favorable"
86,75,92,75,75,86,90,84,75,75,50,85,53,83,0,"lightly favorable"
80,80,90,80,84,80,80,81,75,53,42,81,72,80,4,"lightly favorable"
60,75,60,52,23,71,81,9,63,10,50,52,50,90,50,"lightly favorable"
100,99,99,100,99,99,89,100,100,95,34,100,80,90,17,"favorable"
88,88,88,88,61,89,60,38,88,39,37,87,11,90,50,"favorable"
75,80,75,75,60,61,51,80,76,41,2,75,90,90,3,"favorable"
95,52,95,96,90,90,48,100,97,95,46,100,51,25,0,"favorable"
1,88,0,90,0,79,28,0,0,0,0,58,0,31,70,"strongly unfavorable"
50,91,90,75,1,90,99,11,71,1,31,10,41,99,41,"lightly favorable"
95,90,100,100,100,100,25,100,100,95,0,100,100,95,0,"favorable"
93,96,99,86,51,99,95,84,47,91,22,84,78,100,41,"unfavorable/indifferent"
71,69,76,80,48,89,91,23,76,2,50,45,47,98,20,"favorable"
90,79,80,40,50,80,46,100,79,79,11,79,55,89,12,"favorable"
89,86,91,93,78,94,72,89,89,44,51,97,100,99,21,"favorable"
100,100,100,100,0,100,100,0,1,0,0,100,1,100,1,"strongly unfavorable"
50,50,50,50,50,50,51,90,50,90,27,60,75,50,0,"unfavorable/indifferent"
50,51,51,50,50,51,41,51,50,51,11,98,81,91,1,"unfavorable/indifferent"
53,54,24,64,22,60,4,34,33,53,0,69,53,48,4,"unfavorable/indifferent"
76,50,74,80,22,82,51,55,23,7,23,76,34,100,50,"strongly unfavorable"
14,97,6,8,4,5,99,33,4,2,7,13,19,100,24,"strongly unfavorable"
54,91,56,86,30,79,90,55,56,7,47,34,28,95,87,"lightly favorable"
51,50,50,81,30,80,100,0,50,0,50,0,30,100,79,"unfavorable/indifferent"
89,51,100,88,75,100,16,99,100,54,3,91,89,55,5,"favorable"
75,75,50,2,1,90,99,10,65,0,10,0,30,100,0,"lightly favorable"
69,90,61,91,6,91,100,12,30,6,52,52,6,94,80,"unfavorable/indifferent"
91,91,88,90,90,89,90,80,91,61,27,91,59,90,11,"favorable"
21,75,19,61,1,25,41,2,16,3,5,50,74,38,76,"strongly unfavorable"
83,73,78,75,50,78,49,78,87,78,69,100,87,78,0,"favorable"
51,80,50,61,51,52,51,29,52,1,29,59,11,99,1,"lightly favorable"
50,70,54,76,58,44,52,50,52,50,28,50,76,82,1,"lightly favorable"
67,53,100,96,70,95,45,70,88,72,30,91,97,41,1,"favorable"
50,50,50,50,30,50,90,1,47,1,50,5,5,95,50,"unfavorable/indifferent"
80,78,79,80,66,80,75,69,80,80,40,69,86,75,10,"favorable"
63,94,34,28,69,78,80,64,49,48,16,95,95,73,4,"unfavorable/indifferent"
41,56,79,93,52,76,76,43,66,4,28,56,47,88,12,"lightly favorable"
70,60,70,60,50,70,40,75,70,75,25,75,80,40,10,"lightly favorable"
100,100,100,100,100,100,100,100,100,75,25,100,75,75,0,"favorable"
98,94,97,99,97,98,88,95,70,79,78,100,64,66,3,"lightly favorable"
92,70,52,75,69,96,93,70,49,41,20,90,48,83,46,"unfavorable/indifferent"
70,90,83,100,50,94,98,51,13,6,52,79,7,99,84,"strongly unfavorable"
100,92,98,97,100,97,88,99,99,98,19,100,99,94,1,"favorable"
63,64,100,88,0,100,100,15,5,0,0,51,2,100,1,"strongly unfavorable"
80,100,80,80,10,80,100,30,50,0,5,100,80,100,50,"unfavorable/indifferent"
12,91,80,78,3,99,50,79,2,2,31,98,6,99,51,"strongly unfavorable"
90,90,51,85,0,100,99,5,1,0,6,99,2,99,0,"strongly unfavorable"
51,51,50,50,50,61,50,51,50,71,6,51,70,60,1,"unfavorable/indifferent"
95,86,90,90,90,90,90,95,79,85,25,90,91,85,2,"favorable"
70,10,80,80,80,79,1,100,99,69,1,70,98,100,1,"favorable"
72,70,77,70,70,75,51,59,71,69,41,76,59,83,5,"lightly favorable"
78,73,78,93,73,77,92,28,63,1,76,64,40,75,26,"lightly favorable"
100,59,100,100,100,100,10,51,100,53,1,100,80,90,1,"favorable"
100,99,100,99,100,100,11,100,100,99,1,99,100,89,0,"favorable"
81,70,69,60,60,89,81,75,45,79,50,71,47,88,50,"unfavorable/indifferent"
70,70,70,70,70,70,70,70,70,70,0,70,100,85,0,"lightly favorable"
54,48,70,73,51,77,26,40,71,11,11,53,50,63,3,"lightly favorable"
66,62,52,41,50,50,75,65,51,63,4,53,54,55,3,"lightly favorable"
90,81,89,40,81,41,80,51,51,11,50,91,69,94,2,"lightly favorable"
100,99,100,100,100,99,34,21,98,100,1,99,98,98,1,"favorable"
78,89,91,94,89,99,90,89,92,81,41,90,76,39,6,"favorable"
91,52,85,85,91,87,14,88,91,84,15,91,94,52,6,"favorable"
98,80,100,98,75,98,55,100,64,98,18,99,62,34,1,"lightly favorable"
80,99,100,100,95,99,50,99,90,49,30,99,100,91,20,"favorable"
100,76,28,79,0,51,99,50,5,1,2,0,0,100,0,"strongly unfavorable"
80,100,90,74,56,89,100,50,81,98,50,51,91,90,100,"favorable"
92,91,95,98,67,100,78,93,81,100,88,91,51,86,12,"favorable"
52,51,51,51,51,52,50,40,60,3,16,51,12,92,2,"lightly favorable"
48,66,60,63,54,75,59,70,64,46,9,68,24,67,0,"lightly favorable"
85,91,91,88,86,95,92,91,89,72,22,92,79,86,17,"favorable"
100,100,100,100,80,100,100,30,100,49,50,81,50,91,1,"favorable"
46,99,52,87,47,45,69,41,56,23,56,68,13,99,59,"lightly favorable"
76,78,66,75,64,73,62,79,65,62,2,88,97,66,0,"lightly favorable"
66,74,44,83,26,57,77,3,57,5,47,30,58,98,72,"lightly favorable"
43,81,51,50,50,59,51,63,48,10,50,100,50,96,50,"unfavorable/indifferent"
50,97,52,51,0,83,100,49,20,1,4,50,100,99,51,"strongly unfavorable"
79,100,78,82,19,100,100,3,22,36,41,21,50,94,60,"strongly unfavorable"
52,86,60,80,71,71,96,41,77,31,31,82,31,80,51,"favorable"
100,61,100,93,93,100,50,86,96,89,11,93,53,50,36,"favorable"
78,72,69,78,25,100,99,2,50,1,1,0,0,89,1,"unfavorable/indifferent"
87,91,70,55,68,88,95,49,58,36,36,51,74,86,49,"lightly favorable"
51,56,99,52,10,53,100,50,14,13,28,21,78,100,28,"strongly unfavorable"
50,96,89,100,5,100,99,91,89,0,3,91,1,99,60,"favorable"
3,77,31,40,0,52,86,28,6,7,31,11,62,95,57,"strongly unfavorable"
50,63,51,50,49,49,51,38,46,36,37,50,74,54,47,"unfavorable/indifferent"
52,80,72,72,40,59,64,53,59,40,30,89,49,80,16,"lightly favorable"
88,87,89,91,82,88,91,53,87,39,47,90,45,92,3,"favorable"
90,76,77,77,61,80,81,48,65,63,54,66,99,77,21,"lightly favorable"
80,98,81,13,3,85,100,32,4,11,50,48,52,100,49,"strongly unfavorable"
78,76,77,72,77,81,76,80,76,91,91,91,84,78,77,"favorable"
48,79,49,60,9,73,84,20,1,3,4,16,10,76,12,"strongly unfavorable"
80,78,74,81,66,72,66,72,69,10,71,64,23,91,92,"lightly favorable"
83,81,82,91,77,90,91,53,81,54,25,0,80,97,16,"favorable"
77,78,69,61,61,61,49,69,69,52,31,60,95,81,55,"lightly favorable"
50,50,50,50,50,50,50,50,31,0,50,50,0,100,50,"unfavorable/indifferent"
10,11,51,69,5,11,51,50,19,1,3,50,51,51,40,"strongly unfavorable"
91,85,91,90,90,87,78,90,87,94,4,92,82,66,0,"favorable"
21,80,16,75,0,49,80,7,6,0,50,11,2,90,6,"strongly unfavorable"
79,89,93,91,14,97,100,73,25,51,48,85,20,100,50,"strongly unfavorable"
76,69,61,88,66,76,69,57,69,55,59,65,50,67,57,"lightly favorable"
66,83,73,81,58,100,81,57,72,41,72,82,34,95,55,"lightly favorable"
99,93,72,96,15,98,93,49,46,37,26,96,45,89,50,"unfavorable/indifferent"
26,50,50,50,1,50,59,50,25,1,31,50,90,100,50,"strongly unfavorable"
53,50,50,50,48,51,76,67,52,46,8,53,63,73,49,"lightly favorable"
81,92,28,26,10,90,97,50,8,17,59,19,22,95,51,"strongly unfavorable"
70,82,91,92,0,81,100,51,81,1,10,70,22,90,70,"favorable"
78,78,58,61,71,78,100,62,59,50,2,50,49,80,8,"lightly favorable"
7,71,27,19,4,32,99,51,6,3,30,31,38,99,10,"strongly unfavorable"
100,10,50,80,30,30,50,30,60,96,1,49,46,16,0,"lightly favorable"
69,72,65,76,75,68,64,72,85,76,61,70,62,59,71,"favorable"
50,50,50,51,21,51,80,51,20,7,11,31,71,90,51,"strongly unfavorable"
100,82,87,88,84,88,90,90,88,100,21,81,94,61,0,"favorable"
100,81,99,100,100,100,1,100,100,94,2,100,96,51,0,"favorable"
51,70,50,70,27,81,96,11,40,2,53,50,12,84,51,"unfavorable/indifferent"
69,65,69,70,65,62,61,90,66,70,59,73,62,64,38,"lightly favorable"
88,88,80,68,90,80,86,79,89,69,56,88,57,96,53,"favorable"
59,50,48,50,50,55,50,52,52,50,40,49,60,58,20,"lightly favorable"
34,61,34,45,18,56,47,17,30,4,45,53,43,42,50,"unfavorable/indifferent"
100,91,94,86,78,100,61,96,60,90,61,93,54,99,38,"lightly favorable"
30,10,5,50,5,25,50,50,50,0,20,25,50,25,10,"unfavorable/indifferent"
92,93,94,98,92,99,98,40,88,3,39,3,0,92,0,"favorable"
99,99,94,99,80,88,100,100,75,52,32,68,99,100,51,"lightly favorable"
83,32,74,66,56,64,91,77,64,83,25,48,59,70,1,"lightly favorable"
80,80,80,80,80,80,3,90,80,70,0,85,95,15,0,"favorable"
51,51,50,52,51,51,48,22,61,10,10,46,41,94,50,"lightly favorable"
66,52,55,70,48,77,92,38,50,10,51,50,12,89,47,"unfavorable/indifferent"
78,69,57,57,51,71,91,49,32,99,52,0,100,89,52,"unfavorable/indifferent"
91,84,70,69,63,67,91,75,31,51,84,80,54,99,50,"unfavorable/indifferent"
46,81,71,63,28,62,52,29,51,5,52,67,39,81,28,"lightly favorable"
96,98,92,100,53,99,99,26,50,85,100,6,54,98,51,"unfavorable/indifferent"
97,98,100,99,78,100,98,96,81,96,9,99,77,8,0,"favorable"
51,77,51,60,0,77,70,79,41,100,27,28,99,77,52,"unfavorable/indifferent"
95,80,80,80,80,80,80,90,50,100,20,100,75,60,1,"unfavorable/indifferent"
69,85,34,55,44,80,100,89,46,23,24,44,41,91,50,"unfavorable/indifferent"
15,78,11,59,23,90,93,4,3,4,20,5,34,95,6,"strongly unfavorable"
8,51,4,14,7,96,98,2,39,1,6,2,4,94,10,"unfavorable/indifferent"
100,100,100,100,87,100,4,3,100,3,3,100,50,100,5,"favorable"
50,90,61,84,2,75,51,54,52,2,2,80,97,95,1,"lightly favorable"
97,90,97,99,92,99,95,85,98,85,49,98,51,59,4,"favorable"
81,26,79,79,80,78,39,97,79,80,3,88,81,39,0,"favorable"
22,80,47,65,34,50,70,65,26,0,0,34,69,95,2,"unfavorable/indifferent"
79,100,100,96,100,99,100,100,100,72,52,29,51,99,53,"favorable"
67,83,59,30,31,50,86,49,58,4,5,40,50,100,50,"lightly favorable"
97,92,68,88,56,82,95,50,59,50,47,55,52,83,50,"lightly favorable"
82,78,38,55,65,83,89,50,32,40,13,84,33,80,25,"unfavorable/indifferent"
21,66,13,93,0,16,1,2,2,0,0,50,1,90,1,"strongly unfavorable"
93,94,47,55,84,89,100,53,53,95,19,12,62,98,51,"lightly favorable"
100,97,100,100,100,100,91,100,100,96,27,100,100,39,1,"favorable"
72,90,13,12,50,70,96,86,6,8,16,5,87,100,13,"strongly unfavorable"
78,100,50,100,21,100,100,61,40,2,6,79,11,100,40,"unfavorable/indifferent"
31,97,70,90,30,92,99,51,30,3,20,51,50,97,9,"unfavorable/indifferent"
51,89,80,69,20,51,90,43,30,22,53,21,12,81,51,"unfavorable/indifferent"
92,84,81,82,70,89,94,50,69,34,58,60,25,83,35,"lightly favorable"
78,93,79,79,85,84,99,60,80,31,46,50,89,91,52,"favorable"
63,66,57,55,50,59,72,56,54,54,53,60,74,72,53,"lightly favorable"
51,67,56,54,24,50,3,84,76,52,5,61,50,75,3,"favorable"
74,96,48,62,55,52,99,10,71,6,12,24,58,97,1,"lightly favorable"
0,100,51,100,50,50,99,0,51,0,51,0,0,99,50,"lightly favorable"
80,80,79,80,60,80,80,80,81,51,51,79,69,81,8,"favorable"
72,77,84,78,63,87,86,69,50,9,11,67,46,42,1,"unfavorable/indifferent"
100,100,100,100,78,100,100,50,50,50,30,50,50,100,50,"unfavorable/indifferent"
95,90,91,52,81,90,98,79,88,91,54,49,50,54,0,"favorable"
100,80,100,100,60,99,100,100,80,50,7,50,5,49,51,"favorable"
83,88,86,92,84,86,52,89,87,77,13,84,48,64,5,"favorable"
16,73,47,49,4,51,78,38,9,2,5,50,37,74,49,"strongly unfavorable"
90,90,99,99,51,99,91,26,75,0,80,50,20,100,50,"lightly favorable"
89,88,87,83,76,89,98,46,79,83,19,50,90,97,12,"favorable"
87,96,84,85,88,81,88,87,88,74,44,91,75,85,1,"favorable"
82,87,78,83,55,88,69,52,63,45,44,70,71,90,50,"lightly favorable"
90,100,80,88,86,94,99,88,67,6,16,97,95,99,72,"lightly favorable"
50,50,50,50,50,50,45,25,50,30,5,50,35,10,0,"unfavorable/indifferent"
80,71,77,76,60,80,80,51,61,31,35,80,50,81,50,"lightly favorable"
95,70,91,89,65,97,41,89,37,82,26,90,91,96,3,"unfavorable/indifferent"
100,60,99,99,89,81,91,79,91,50,2,98,33,50,42,"favorable"
64,99,49,65,1,75,100,49,1,1,2,67,69,79,2,"strongly unfavorable"
92,100,66,63,68,90,98,73,63,77,68,67,97,100,55,"lightly favorable"
97,99,99,94,35,75,96,50,73,90,41,51,20,81,9,"lightly favorable"
91,75,58,75,74,63,88,75,85,91,53,25,73,55,53,"favorable"
100,100,100,68,100,97,100,100,100,100,0,100,79,100,0,"favorable"
90,63,71,90,100,92,100,100,79,90,61,100,100,77,48,"favorable"
50,50,50,50,50,50,50,26,98,0,0,50,39,80,50,"favorable"
30,7,75,61,3,69,91,8,19,6,3,9,76,19,6,"strongly unfavorable"
57,88,66,100,21,98,99,82,80,39,48,67,43,95,4,"favorable"
82,82,82,96,82,82,70,88,81,80,54,81,87,81,2,"favorable"
75,80,60,57,45,90,80,50,20,60,40,50,100,100,51,"strongly unfavorable"
93,93,93,92,90,90,92,8,93,47,70,90,18,40,6,"favorable"
78,81,89,79,58,83,65,31,81,6,28,66,31,66,3,"favorable"
79,91,79,78,79,79,92,63,53,83,12,81,53,84,51,"lightly favorable"
52,71,75,63,51,59,68,55,62,57,16,50,87,26,8,"lightly favorable"
70,89,67,56,60,62,60,70,62,40,42,78,52,91,3,"lightly favorable"
78,86,56,90,57,69,39,100,74,59,31,79,60,89,0,"lightly favorable"
90,91,90,100,81,90,50,20,100,1,21,100,30,99,1,"favorable"
90,90,91,90,90,90,80,60,61,6,50,95,50,100,11,"lightly favorable"
85,85,90,90,90,90,85,85,90,90,25,90,85,75,50,"favorable"
63,0,100,50,50,51,3,59,80,71,0,50,92,2,0,"favorable"
65,75,60,70,55,80,98,36,60,0,58,59,35,90,0,"lightly favorable"
70,79,65,60,61,80,80,42,77,28,27,89,50,94,1,"favorable"
30,100,77,100,80,98,100,100,80,50,53,80,100,100,50,"favorable"
75,66,61,65,64,66,100,50,100,54,50,50,100,50,50,"favorable"
51,49,76,80,49,100,66,9,50,5,50,49,5,100,3,"unfavorable/indifferent"
75,80,75,75,10,80,100,0,50,0,25,0,0,85,0,"unfavorable/indifferent"
81,90,68,53,33,96,99,50,60,82,23,100,94,98,5,"lightly favorable"
59,96,71,72,50,81,88,60,53,10,40,70,30,79,63,"lightly favorable"
99,99,99,99,99,99,100,99,99,49,16,99,50,100,0,"favorable"
94,40,55,50,25,80,50,90,50,85,0,100,90,10,0,"unfavorable/indifferent"
99,31,80,52,50,80,78,50,82,94,25,50,82,70,4,"favorable"
87,83,79,90,69,81,75,12,75,13,19,81,37,97,1,"lightly favorable"
75,75,88,76,81,85,49,56,85,44,4,86,29,66,13,"favorable"
52,52,1,56,1,66,59,0,1,1,17,28,6,89,1,"strongly unfavorable"
74,49,95,69,89,79,100,78,100,84,53,79,85,65,26,"favorable"
35,96,38,25,8,88,18,64,29,34,14,79,92,89,49,"unfavorable/indifferent"
90,95,92,92,89,90,96,84,93,50,19,91,74,96,6,"favorable"
80,69,79,81,70,80,68,70,51,61,30,80,60,31,50,"lightly favorable"
60,50,60,60,60,70,60,50,50,55,5,60,70,80,20,"unfavorable/indifferent"
51,91,29,50,50,50,50,24,12,1,9,51,84,83,5,"strongly unfavorable"
2,79,14,61,1,51,90,10,11,2,31,11,14,98,5,"strongly unfavorable"
73,80,75,81,69,69,66,51,86,52,40,71,41,98,25,"favorable"
99,100,99,100,51,100,100,100,75,4,50,100,23,100,51,"lightly favorable"
50,67,40,42,34,51,83,53,41,12,1,47,41,81,11,"unfavorable/indifferent"
50,100,50,50,50,50,100,50,10,6,50,7,10,100,50,"strongly unfavorable"
77,99,50,53,6,99,99,27,49,98,50,8,97,98,9,"unfavorable/indifferent"
72,81,71,58,43,80,100,77,51,5,32,15,26,100,98,"lightly favorable"
75,100,80,100,10,100,100,2,25,1,83,100,1,2,50,"strongly unfavorable"
80,50,80,80,50,60,25,75,80,70,30,80,75,50,1,"favorable"
79,61,81,71,50,89,100,2,82,51,1,1,2,97,1,"favorable"
50,61,66,49,14,50,94,42,49,6,51,49,20,92,49,"unfavorable/indifferent"
75,83,91,76,74,95,72,91,76,62,8,88,9,29,2,"favorable"
52,100,50,75,0,91,100,47,22,2,51,31,13,98,29,"strongly unfavorable"
87,90,85,81,43,87,88,60,50,41,51,71,30,90,40,"unfavorable/indifferent"
41,69,50,50,50,50,51,50,41,15,36,50,51,96,19,"unfavorable/indifferent"
88,94,86,80,78,95,95,91,75,58,47,89,90,98,0,"lightly favorable"
60,96,45,49,50,76,98,23,1,2,32,3,10,99,98,"strongly unfavorable"
81,91,100,91,6,81,100,30,51,5,51,79,21,100,21,"lightly favorable"
82,69,69,71,73,68,70,47,68,51,17,76,45,67,50,"lightly favorable"
30,81,63,62,14,66,92,19,18,3,34,30,66,87,15,"strongly unfavorable"
78,68,79,57,49,81,88,81,55,60,22,73,29,85,57,"lightly favorable"
91,90,94,99,82,97,50,98,88,96,32,100,76,79,1,"favorable"
68,76,50,59,50,73,78,30,76,22,64,29,41,90,41,"favorable"
70,80,61,60,60,60,90,51,61,60,55,60,79,88,19,"lightly favorable"
22,91,0,14,1,51,48,86,2,1,3,80,1,46,11,"strongly unfavorable"
85,90,80,90,75,85,95,95,90,30,45,50,70,90,50,"favorable"
56,87,48,69,30,49,81,26,47,19,57,44,30,88,53,"unfavorable/indifferent"
54,75,57,53,30,56,85,13,47,9,25,59,85,83,55,"unfavorable/indifferent"
65,74,61,39,21,28,100,27,40,1,4,9,100,100,14,"unfavorable/indifferent"
93,97,92,80,40,73,98,44,63,25,59,70,44,88,55,"lightly favorable"
100,75,90,78,88,91,96,87,81,89,85,89,97,94,86,"favorable"
50,50,50,50,50,50,50,50,50,50,50,50,50,50,6,"unfavorable/indifferent"
41,50,59,80,51,51,3,80,52,27,31,53,53,26,1,"lightly favorable"
78,75,79,84,21,90,96,49,60,51,44,28,51,67,3,"lightly favorable"
54,73,51,72,53,53,99,64,60,35,37,15,51,81,11,"lightly favorable"
55,54,53,53,53,91,75,31,32,2,22,80,26,94,30,"unfavorable/indifferent"
87,98,44,88,31,89,99,26,40,5,29,98,32,99,9,"unfavorable/indifferent"
0,100,0,26,0,0,100,0,0,0,0,49,0,100,0,"strongly unfavorable"
64,74,76,75,78,78,67,78,79,37,16,72,28,98,43,"favorable"
40,64,40,45,39,57,71,42,41,11,26,37,22,69,30,"unfavorable/indifferent"
100,100,91,97,71,100,100,94,79,77,54,45,95,94,81,"favorable"
54,92,47,54,9,92,90,13,53,10,15,50,86,81,52,"lightly favorable"
100,40,70,51,70,31,80,51,26,100,25,50,70,50,10,"unfavorable/indifferent"
31,63,15,42,3,58,97,72,32,6,5,66,64,98,50,"unfavorable/indifferent"
100,100,30,72,1,100,100,100,4,2,1,100,31,81,49,"strongly unfavorable"
48,90,46,50,27,90,100,42,49,50,37,49,80,100,49,"unfavorable/indifferent"
62,52,51,50,40,50,51,50,41,41,50,51,50,75,50,"unfavorable/indifferent"
98,93,89,89,60,96,97,72,71,48,75,68,75,94,9,"lightly favorable"
100,100,99,99,100,100,99,78,78,52,76,99,74,100,76,"favorable"
69,69,56,51,62,78,61,67,63,69,55,65,25,72,51,"lightly favorable"
100,99,99,99,93,95,97,69,90,12,50,92,21,100,5,"favorable"
97,97,95,94,69,91,98,64,46,96,79,55,59,98,57,"unfavorable/indifferent"
50,53,65,51,27,52,49,52,50,6,51,15,24,99,48,"unfavorable/indifferent"
79,85,50,53,8,71,99,51,27,78,43,1,73,76,50,"unfavorable/indifferent"
79,53,68,69,63,81,84,56,69,71,35,69,60,67,41,"lightly favorable"
50,50,50,50,40,50,50,30,50,0,4,50,30,94,20,"unfavorable/indifferent"
79,79,70,80,51,81,70,90,69,80,50,51,49,99,51,"lightly favorable"
50,50,50,51,45,50,40,25,39,5,41,50,13,51,50,"unfavorable/indifferent"
50,50,50,50,20,50,100,25,50,10,40,40,20,80,25,"unfavorable/indifferent"
60,88,54,61,47,91,94,18,40,3,50,50,26,99,27,"unfavorable/indifferent"
100,100,100,100,100,100,100,5,100,81,51,79,79,51,52,"favorable"
32,80,29,47,12,27,87,14,9,1,31,4,49,100,9,"strongly unfavorable"
52,52,60,51,57,50,75,31,50,25,35,53,49,99,26,"unfavorable/indifferent"
99,99,100,100,97,100,98,98,100,51,49,100,77,100,53,"favorable"
51,50,89,89,46,70,90,14,80,10,26,40,29,96,2,"favorable"
50,50,50,50,0,51,100,0,0,0,20,0,0,100,50,"strongly unfavorable"
85,90,84,70,50,94,100,51,85,0,51,80,61,100,51,"favorable"
71,100,100,69,25,99,74,66,41,60,60,64,53,100,69,"unfavorable/indifferent"
45,85,36,59,5,78,90,6,50,2,28,69,6,81,70,"unfavorable/indifferent"
76,73,81,78,75,69,31,92,76,66,6,88,77,78,9,"favorable"
90,89,90,90,80,89,85,45,60,60,56,90,45,66,40,"lightly favorable"
75,92,75,52,55,63,94,77,37,75,13,29,65,85,15,"unfavorable/indifferent"
94,50,52,53,29,64,81,100,87,70,85,14,53,49,64,"favorable"
50,50,50,50,17,50,51,57,51,16,11,50,100,48,50,"lightly favorable"
40,76,72,62,8,78,89,53,63,9,28,74,51,90,28,"lightly favorable"
40,88,13,56,16,81,43,85,25,21,22,73,89,78,3,"strongly unfavorable"
60,78,73,78,24,65,65,21,35,3,39,49,21,77,61,"unfavorable/indifferent"
41,100,51,91,36,100,99,13,82,15,54,68,43,100,16,"favorable"
89,90,75,90,81,90,90,21,30,0,51,50,6,85,80,"unfavorable/indifferent"
88,88,88,90,79,93,78,28,86,87,8,88,89,77,92,"favorable"
40,84,40,69,20,86,95,9,43,6,20,50,50,80,54,"unfavorable/indifferent"
51,90,81,92,59,62,90,32,62,1,82,60,30,98,92,"lightly favorable"
98,96,99,98,98,99,52,98,95,95,36,99,94,90,0,"favorable"
70,70,70,60,70,70,70,60,90,70,25,70,70,75,5,"favorable"
88,78,83,87,48,80,88,50,89,55,25,72,50,92,36,"favorable"
98,80,83,87,98,90,100,89,100,91,59,100,53,87,8,"favorable"
51,50,45,50,52,50,50,48,30,2,50,50,51,81,50,"unfavorable/indifferent"
84,91,73,82,0,94,77,3,0,0,1,78,3,90,5,"strongly unfavorable"
97,90,100,93,90,91,100,96,95,88,37,99,98,98,78,"favorable"
90,98,70,78,88,87,93,78,50,31,6,89,80,99,9,"unfavorable/indifferent"
37,72,35,53,4,53,21,53,12,1,7,50,99,91,50,"strongly unfavorable"
10,43,36,32,41,42,74,34,63,55,69,71,58,34,59,"lightly favorable"
98,57,67,66,71,81,88,78,73,72,1,40,89,75,0,"lightly favorable"
50,50,50,50,50,50,50,91,50,50,40,50,79,81,0,"unfavorable/indifferent"
94,80,92,100,34,99,56,77,51,98,52,2,59,56,100,"lightly favorable"
62,81,51,81,27,85,90,28,62,8,54,81,5,77,31,"lightly favorable"
87,50,49,50,59,50,91,50,56,86,50,50,41,29,50,"lightly favorable"
26,3,49,50,60,5,20,91,11,98,7,15,7,6,11,"strongly unfavorable"
76,81,51,51,49,50,100,42,50,48,50,45,51,86,50,"unfavorable/indifferent"
53,71,43,51,45,73,63,50,50,31,40,25,53,78,41,"unfavorable/indifferent"
50,50,50,50,50,50,50,50,50,50,50,50,65,75,50,"unfavorable/indifferent"
59,72,50,61,40,53,65,19,1,3,59,50,44,82,47,"strongly unfavorable"
85,98,5,11,4,47,48,6,14,1,9,30,5,90,17,"strongly unfavorable"
60,85,62,89,1,89,91,31,60,1,1,71,1,91,80,"lightly favorable"
27,100,59,67,13,16,98,6,31,3,9,47,58,97,50,"unfavorable/indifferent"
100,99,100,99,20,100,99,50,40,3,50,50,6,99,50,"unfavorable/indifferent"
56,59,47,50,0,56,57,13,0,2,29,54,60,80,21,"strongly unfavorable"
66,80,84,88,59,100,83,51,8,14,9,100,69,95,36,"strongly unfavorable"
100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,"favorable"
39,34,62,100,2,33,68,49,53,0,35,2,35,44,3,"lightly favorable"
74,84,74,89,35,86,94,45,60,2,5,6,92,100,69,"lightly favorable"
98,99,84,92,89,81,92,98,81,100,48,99,81,82,55,"favorable"
24,69,62,37,17,74,47,52,33,10,32,78,44,79,24,"unfavorable/indifferent"
83,89,56,67,19,91,87,44,49,11,51,92,7,90,47,"unfavorable/indifferent"
72,84,78,79,81,86,78,61,78,20,50,78,35,89,63,"favorable"
94,76,71,90,76,85,86,86,81,100,50,85,81,72,6,"favorable"
81,80,29,69,18,84,61,59,17,18,29,54,55,93,49,"strongly unfavorable"
71,80,78,81,60,100,91,3,46,4,41,60,4,95,80,"unfavorable/indifferent"
50,50,50,50,30,49,80,40,51,0,42,13,70,91,83,"lightly favorable"
53,56,39,66,12,56,38,3,0,1,8,2,7,92,13,"strongly unfavorable"
86,90,76,80,70,90,96,49,51,25,39,50,50,89,11,"lightly favorable"
98,99,97,75,19,100,94,25,54,3,27,2,30,97,58,"lightly favorable"
91,86,85,80,36,90,91,7,95,4,68,49,7,100,4,"favorable"
55,60,50,50,30,51,51,35,49,1,19,51,71,89,42,"unfavorable/indifferent"
82,81,80,81,81,80,80,81,81,64,45,81,60,85,12,"favorable"
65,84,78,65,48,77,82,38,48,9,22,52,88,92,13,"unfavorable/indifferent"
75,76,76,76,75,76,76,75,75,49,3,76,56,75,1,"lightly favorable"
90,80,50,52,41,100,100,27,51,1,60,1,10,100,1,"lightly favorable"
50,42,43,44,53,53,41,54,52,37,52,51,40,41,51,"lightly favorable"
51,50,50,50,50,50,75,40,65,57,1,50,8,4,24,"lightly favorable"
71,80,77,74,0,88,100,50,50,0,14,1,9,51,61,"unfavorable/indifferent"
85,51,74,28,73,95,99,9,91,81,3,0,5,30,11,"favorable"
69,65,62,60,68,59,58,64,73,59,64,66,63,61,66,"lightly favorable"
76,71,79,66,70,91,67,93,67,75,6,95,91,16,3,"lightly favorable"
29,50,31,50,31,50,48,36,63,20,0,55,78,99,6,"lightly favorable"
81,92,81,80,70,87,100,54,66,30,51,9,98,100,59,"lightly favorable"
